,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_activation,param_hidden_layer_sizes,param_learning_rate,param_solver,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
30,143.62886627515158,0.17615707715352377,0.9308266582135469,0.9318894298525199,relu,"(24, 20, 16, 12)",adaptive,sgd,"{'activation': 'relu', 'hidden_layer_sizes': (24, 20, 16, 12), 'learning_rate': 'adaptive', 'solver': 'sgd'}",1,0.9351027773036502,0.936747520436964,0.9395886419331635,0.9397288499286768,0.9177883443062668,0.9191919191919192,26.352993060072095,0.043949848392518004,0.009399527169710853,0.009060616760338548
11,64.1384707291921,0.34583155314127606,0.9231660184586874,0.9241088737721777,tanh,"(24, 20, 16)",adaptive,adam,"{'activation': 'tanh', 'hidden_layer_sizes': (24, 20, 16), 'learning_rate': 'adaptive', 'solver': 'adam'}",2,0.9250810758089293,0.926250144780878,0.921849282500823,0.9234403384499091,0.9225676664228237,0.9226361380857458,10.088558933758796,0.05035859830012132,0.0013855568970287718,0.0015492935392097157
15,65.4672106107076,0.4741048812866211,0.916939970657921,0.9178035979416785,tanh,"(24, 20, 16, 12)",adaptive,adam,"{'activation': 'tanh', 'hidden_layer_sizes': (24, 20, 16, 12), 'learning_rate': 'adaptive', 'solver': 'adam'}",3,0.9225817463607325,0.9219890149413866,0.921337218517209,0.9228734104680508,0.9069007559131919,0.9085483684155984,12.156379534654247,0.05823781873050337,0.00711689102988272,0.006554387540531729
13,77.34497412045796,0.4490550359090169,0.91109593884493,0.9130629216422076,tanh,"(24, 20, 16, 12)",constant,adam,"{'activation': 'tanh', 'hidden_layer_sizes': (24, 20, 16, 12), 'learning_rate': 'constant', 'solver': 'adam'}",4,0.9081587866669918,0.9122231637212648,0.9167286426646835,0.918118530620207,0.9084003901487442,0.9088470705851515,11.668441705099838,0.040709596852484535,0.003984144182581397,0.0038313520520174755
29,70.31200575828552,0.20820442835489908,0.9075074269597624,0.9083506613708967,relu,"(24, 20, 16, 12)",constant,adam,"{'activation': 'relu', 'hidden_layer_sizes': (24, 20, 16, 12), 'learning_rate': 'constant', 'solver': 'adam'}",5,0.8961741971666138,0.898665577508062,0.9055973470208849,0.9052986430304434,0.9207510363326018,0.9210877635741849,10.03159710949498,0.03603143962574655,0.010123950475808685,0.00940477605470776
9,86.47855718930562,0.35095938046773273,0.9060525150063196,0.9081332902707707,tanh,"(24, 20, 16)",constant,adam,"{'activation': 'tanh', 'hidden_layer_sizes': (24, 20, 16), 'learning_rate': 'constant', 'solver': 'adam'}",6,0.9138767647704275,0.9166184063740163,0.8931980834176614,0.8947708513673328,0.9110826627651792,0.9130106130709631,4.278924824913849,0.010159289398311094,0.009160751792448131,0.009562779345478735
27,57.441242376963295,0.18958584467569986,0.9028175711098377,0.903654787993189,relu,"(24, 20, 16)",adaptive,adam,"{'activation': 'relu', 'hidden_layer_sizes': (24, 20, 16), 'learning_rate': 'adaptive', 'solver': 'adam'}",7,0.9144985491697349,0.9149724763930969,0.8955023713439241,0.8972153472891089,0.8984515971714216,0.8987765402973611,12.63089543953301,0.025793278802095667,0.008347066463170995,0.008028153957181419
26,96.22985331217448,0.19843379656473795,0.8998955552033422,0.9010822447114192,relu,"(24, 20, 16)",adaptive,sgd,"{'activation': 'relu', 'hidden_layer_sizes': (24, 20, 16), 'learning_rate': 'adaptive', 'solver': 'sgd'}",8,0.90441588842018,0.9062124712724258,0.8912229794808647,0.8915826434693555,0.9040477932211656,0.9054516193924763,13.168438134129767,0.023395747549847044,0.006134278048554124,0.006724410344135247
31,51.35581127802531,0.18465725580851236,0.8986275872439172,0.8992229537958462,relu,"(24, 20, 16, 12)",adaptive,adam,"{'activation': 'relu', 'hidden_layer_sizes': (24, 20, 16, 12), 'learning_rate': 'adaptive', 'solver': 'adam'}",9,0.8988685962302797,0.8984705043251382,0.8959656673290987,0.8960875873251972,0.9010485247500609,0.9031107697372031,9.063714989808187,0.008482900266469055,0.002082047920092615,0.002916151339528814
25,61.50104681650797,0.18424352010091147,0.8967378273043896,0.8974978424102315,relu,"(24, 20, 16)",constant,adam,"{'activation': 'relu', 'hidden_layer_sizes': (24, 20, 16), 'learning_rate': 'constant', 'solver': 'adam'}",10,0.903623418107337,0.9048286708810602,0.9067677789834311,0.9060301630070348,0.8798219946354547,0.8816346933425993,7.436629883499642,0.008934872922544095,0.012029876358850545,0.011227659880510395
