samples,features,estimators,accuracy,precision,f1-score,time
0.25,1,3,0.9967325600392093,0.9967333262941792,0.9967327230070676,0.1060037612915039
0.25,1,5,0.9982482891321316,0.9982485095964306,0.9982482874571528,0.17100024223327637
0.25,1,7,0.9986839477935704,0.9986839548845632,0.9986839480990447,0.22200679779052734
0.25,1,11,0.9988745484579499,0.9988747770209873,0.9988745580150391,0.3430013656616211
0.25,1,21,0.9991377588992357,0.9991377674651479,0.9991377598469541,0.6489999294281006
0.25,1,31,0.9992194448982555,0.9992194728221195,0.9992194426015343,0.9199995994567871
0.25,1,51,0.9992012924540289,0.9992013015125675,0.9992012927575015,1.4989988803863525
0.25,1,75,0.9993737406741818,0.9993737552657674,0.9993737389128919,2.2320032119750977
0.25,1,99,0.9992375973424822,0.999237613836688,0.9992375928332341,2.8929998874664307
0.25,2,3,0.9974042004755941,0.9974041419050188,0.9974041591680918,0.09200572967529297
0.25,2,5,0.9984025849080579,0.9984029752683338,0.9984025332968722,0.14200568199157715
0.25,2,7,0.9986839477935704,0.9986840438891317,0.9986839507713247,0.18699955940246582
0.25,2,11,0.9990651491223294,0.9990651591422193,0.9990651456653417,0.29100561141967773
0.25,2,21,0.999146835121349,0.9991468914969728,0.9991468436197329,0.5369918346405029
0.25,2,31,0.9992375973424822,0.9992376278895845,0.9992375951044111,0.7689990997314453
0.25,2,51,0.9992739022309354,0.9992739503732638,0.9992739015127932,1.2620019912719727
0.25,2,75,0.9993283595636152,0.9993283642551425,0.9993283577297963,1.8589990139007568
0.25,2,99,0.999292054675162,0.9992920609471928,0.9992920557516548,2.438999652862549
0.25,3,3,0.9973497431429142,0.9973497632276093,0.9973496312477225,0.09000563621520996
0.25,3,5,0.9987565575704769,0.9987565878311203,0.9987565617817067,0.12699556350708008
0.25,3,7,0.9988473197916099,0.9988473775676167,0.9988473164366782,0.18099188804626465
0.25,3,11,0.998938082012743,0.9989380908237342,0.9989380743919782,0.2839999198913574
0.25,3,21,0.9990742253444427,0.9990742713292867,0.9990742079607203,0.5079972743988037
0.25,3,31,0.9992012924540289,0.9992012976749256,0.9992012910302465,0.7330095767974854
0.25,3,51,0.9992557497867088,0.9992557687417051,0.9992557443485829,1.1979892253875732
0.25,3,75,0.9993102071193887,0.999310212900629,0.9993102045316057,1.7549972534179688
0.25,3,99,0.999292054675162,0.9992920780895391,0.9992920542343892,2.317993402481079
0.25,4,3,0.9977763255822396,0.9977764732424265,0.9977762948751855,0.07599806785583496
0.25,4,5,0.9984207373522845,0.9984207395975814,0.998420734998886,0.11300063133239746
0.25,4,7,0.9986476429051172,0.9986477740899272,0.9986476525958462,0.17999982833862305
0.25,4,11,0.9991196064550092,0.9991196729636249,0.9991196169963708,0.26500606536865234
0.25,4,21,0.9991105302328959,0.9991105612275896,0.9991105254016752,0.49399566650390625
0.25,4,31,0.9993102071193887,0.9993102172801198,0.9993102042426811,0.7269997596740723
0.25,4,51,0.9993646644520685,0.9993646857885319,0.999364660203229,1.2350034713745117
